name,city,loc,info,address,nearby station,price
고고씽 런던민박,런던,51.495898 : -0.1016589,"총 수용인원 12명 / 아침,점심,저녁 제공 / 인터넷 / 무선인터넷 / [1존] 엘리펀트카슬역에서 도보 30초 (지하철역 바로 앞에 있어요 ^^)","Princess Street, London",,도미토리 ￡25~4인실￡135
런던 킹스크로스 KX HOUSE,런던,51.539760 :-0.117025,"총 수용인원 20~26명 / 아침,점심,저녁 제공 / 인터넷 / 무선인터넷 / [1존] 킹스 크로스역(유로스타역)에서 도보 10~12분(버스 5분).. 런던 최고의 교통요지.. 시내 관광 코스 어디라도 지하철 10분거리","King's Cross Caledonian Road, Second Floor, Islington, London",,도미토리 ￡23~4인실￡160
런던 대박민박(대영박물관민박),런던,51.524588 :-0.116159,"총 수용인원 29~32명 / 아침,저녁 제공 / 인터넷 / 무선인터넷 / [1존] 러셀스퀘어 역에서 도보 5분, 대영박물관에서 도보 10분, 유로스타역에서 버스 5분",Gray's Inn Road London,,도미토리 ￡25~6인실￡150
런던 이지하우스,런던,51.528648 : -0.139075,"총 수용인원 24명 / 아침,점심,저녁 제공 / 인터넷 / 무선인터넷 / [1존] 유스턴역에서 도보 5분",Robert Street,,도미토리 ￡25~4인실￡130
런던 퀸스민박,런던,51.490867 : -0.149083,"총 수용인원 18명 / 아침,저녁 제공 / 인터넷 / 무선인터넷 / [1존] 빅토리아 코치역에서 도보 1분","Buckingham Palace Road, London.",,도미토리 ￡22~4인실￡110
꽃보다 런던민박,런던,51.485929 : -0.122595,"총 수용인원 15명 / 아침,점심,저녁 제공 / 인터넷 / 무선인터넷 / [1존] 복스홀 지하철역에서 도보 1분",vauxhall station,,도미토리 ￡30~3인실￡120
런던 1존 테임즈 민박,런던,51.491936 : -0.132319,"총 수용인원 17명 / 아침,저녁 제공 / 인터넷 / 무선인터넷 / [1존] 핌리코역에서 도보 5분, 빅토리아 역에서 도보 7분",REGENCY STREET,,도미토리 ￡30~2인실￡75
런던 슈슈민박,런던,51.495155 : -0.115334,"총 수용인원 16명 / 아침,저녁 제공 / 무선인터넷 / [1존] Lambeth North 역에서 도보 5분 / 런던아이, 빅벤에서 도보 10분",Lambeth walk London UK,,도미토리 ￡30~2인실￡90
런던 비타민박,런던,51.542017 : -0.173675,"총 수용인원 23명 / 아침,저녁 제공 / 인터넷 / 무선인터넷 / [2존] 스위스 코티지 지하철 역[회색 주빌리라인(Jubilee line)]에서 도보 2분 ",Regency Parade,,도미토리 ￡25~2인실￡55
런던 브런치 하우스 (Brunch House),런던,51.488111 : -0.138366,"총 수용인원 [본관] 10명, [별관] 6명 / 아침,점심,저녁 제공 / 인터넷 / 무선인터넷 / [1존] 핌리코 지하철역 도보 5분 (탬즈강, 버킹엄궁전, 빅벤, 웨스트민스터, Tate 갤러리 도보 10~30분)"," Lupus street, Pimlico Library",,도미토리 ￡25~4인실￡160
